Symbol,Timeframe,CandleDate,PreviousHigh,PreviousLow,CurrentHigh,CurrentLow,Candle,Signal,ScannedAtUTC
AAPL,1d,2026-09-25,338.91,334.3,341.67,334.53,2 Up,False,2026-09-25T23:57:43+00:00
MSFT,1d,2026-09-25,498.9,491.22,519.4,497.3,2 Up,False,2026-09-25T23:57:43+00:00
NVDA,1d,2026-09-25,224.94,221.09,226.94,223.1329,2 Up,False,2026-09-25T23:57:43+00:00
QQQ,1d,2026-09-25,742.66,734.62,745.915,739.64,2 Up,False,2026-09-25T23:57:43+00:00
SPY,1d,2026-09-25,768.95,763.25,772.28,766.29,2 Up,False,2026-09-25T23:57:43+00:00
TSLA,1d,2026-09-25,383.33,375.7,386.83,367.67,3,True,2026-09-25T23:57:43+00:00
